PID,totalvolume,x,y,z
1928,6.996,293277.901,1999318.842,5392.821
2461,6.048,293623.434,1999320.003,5389.432
2460,5.965,293690.101,1999320.003,5388.867
2192,6.367,293431.907,1999320.248,5391.194
2191,6.214,293498.574,1999320.248,5390.496
10330,1.376,298628.176,1999320.773,5359.501
10329,1.004,298694.843,1999320.773,5358.242
1153,1.368,292729.824,1999338.272,5408.292
1155,3.983,292721.994,1999383.333,5407.159
1411,7.798,292816.667,1999383.333,5403.185
1412,8.57,292883.333,1999383.333,5400.188
1161,5.706,292655.327,1999416.125,5408.685
1414,7.518,292783.333,1999416.667,5403.551
1417,8.681,292916.667,1999416.667,5397.053
1158,5.845,292688.66,1999433.063,5406.677
1160,5.462,292607.331,1999448.917,5409.629
1154,4.012,292740.665,1999450,5404.176
18772,0.106,304925.18,1999481.622,5391.92
1413,7.108,292783.333,1999483.333,5400.999
1418,7.431,292916.667,1999483.333,5395.386
911,3,292532.592,1999494.143,5410.044
1156,6.076,292583.333,1999499.188,5407.997
1159,5.689,292707.331,1999499.729,5403.23
18775,1.206,304921.158,1999508.198,5393.911
17065,0.21,303013.505,1999508.954,5399.422
20001,0.122,307218.092,1999512.069,5330.193
20000,0.15,307284.759,1999512.069,5330.127
1416,6.739,292816.667,1999516.667,5398.006
1415,6.858,292883.333,1999516.667,5395.849
17292,0.242,303188.269,1999517.62,5397.785
17290,0.126,303321.284,1999520.389,5397.051
17288,0.169,303339.782,1999520.453,5396.976
17294,0.398,303288.167,1999520.641,5397.263
17509,0.241,303364.584,1999520.677,5396.799
17289,0.208,303164.938,1999521.275,5397.724
17728,0.256,303603.344,1999521.423,5394.142
17510,0.215,303528.809,1999523.298,5395.223
17512,0.321,303395.849,1999523.418,5396.621
17511,0.133,303503.967,1999525.095,5395.626
17514,0.108,303487.49,1999525.845,5395.848
18778,0.329,304854.491,1999525.893,5387.519
912,4.424,292489.293,1999528.018,5409.163
16828,0.861,302848.543,1999528.077,5398.703
17060,0.229,303130.017,1999530.017,5397.347
18909,0.422,304961.656,1999532.305,5387.755
18635,0.863,304654.456,1999532.805,5387.789
1157,6.043,292650,1999533.063,5403.422
16587,0.684,302648.699,1999534.797,5397.899
17064,1.203,303056.743,1999535.108,5397.415
17293,1.399,303239.999,1999535.633,5396.738
18308,0.436,304254.935,1999536.04,5388.9
18123,0.174,304046.885,1999536.605,5389.099
17727,0.839,303655.707,1999536.772,5393.172
17513,1.29,303447.932,1999537.813,5395.704
17928,0.447,303855.438,1999538.979,5390.994
16333,0.235,302505.946,1999539.474,5396.613
14679,0.219,301236.362,1999541.118,5402.266
16332,0.202,302440.507,1999546.337,5396.249
14064,0.141,300836.078,1999553.704,5400.423
13394,0.703,300499.068,1999567.421,5397.778
922,5.25,292485.052,1999583.333,5404.063
1162,4.845,292616.667,1999583.333,5400.777
1163,5.275,292683.333,1999583.333,5398.711
1419,4.813,292816.667,1999583.333,5392.045
1420,3.836,292883.333,1999583.333,5388.567
13734,2.133,300616.667,1999583.333,5397.392
13735,1.832,300683.333,1999583.333,5397.19
14681,1.688,301216.667,1999583.333,5399.535
14682,1.467,301283.333,1999583.333,5398.926
14972,1.275,301416.667,1999583.333,5398.048
14973,1.23,301483.333,1999583.333,5397.719
15257,1.074,301616.667,1999583.333,5396.962
15258,1.053,301683.333,1999583.333,5396.709
15537,1.139,301816.667,1999583.333,5395.955
15538,1.188,301883.333,1999583.333,5395.457
15812,1.496,302016.667,1999583.333,5395.086
15813,1.566,302083.333,1999583.333,5394.658
16075,1.85,302216.667,1999583.333,5394.126
16076,1.935,302283.333,1999583.333,5394.035
16334,2.051,302416.667,1999583.333,5394.065
16335,2.165,302483.333,1999583.333,5394.135
16589,2.411,302616.667,1999583.333,5394.31
16590,2.499,302683.333,1999583.333,5394.371
16830,2.637,302816.667,1999583.333,5394.203
16831,2.706,302883.333,1999583.333,5394.076
17066,2.862,303016.667,1999583.333,5393.688
17067,3.149,303083.333,1999583.333,5393.612
17295,3.475,303216.667,1999583.333,5393.661
17296,3.402,303283.333,1999583.333,5393.273
17515,3.525,303416.667,1999583.333,5393.083
17516,3.494,303483.333,1999583.333,5392.728
17729,3.173,303616.667,1999583.333,5391.379
17730,2.929,303683.333,1999583.333,5390.55
17930,2.606,303816.667,1999583.333,5389.123
17931,2.489,303883.333,1999583.333,5388.402
18125,2.141,304016.667,1999583.333,5386.743
18126,2.129,304083.333,1999583.333,5386.227
18310,2.444,304216.667,1999583.333,5386.338
18311,2.307,304283.333,1999583.333,5385.714
18481,1.906,304416.667,1999583.333,5384.083
18482,2.031,304483.333,1999583.333,5384.133
18637,3.532,304616.667,1999583.333,5386.249
18638,2.037,304683.333,1999583.333,5382.621
18779,0.484,304816.667,1999583.333,5378.822
18780,0.816,304883.333,1999583.333,5379.432
19936,0.151,307083.333,1999583.333,5329.99
20002,0.319,307216.667,1999583.333,5329.015
20003,0.218,307283.333,1999583.333,5329.034
14067,2.034,300811.632,1999589.982,5398.253
14386,2.239,300986.627,1999594.84,5396.688
13396,0.39,300483.373,1999596.228,5394.481
14068,1.982,300873.265,1999596.63,5396.595
13400,3.161,300512.566,1999612.141,5393.951
915,0.901,292385.052,1999613.186,5402.683
918,2.866,292430.069,1999616.667,5401.723
1165,4.048,292583.333,1999616.667,5399.259
1168,2.353,292716.667,1999616.667,5389.433
1422,2.238,292783.333,1999616.667,5385.995
11386,1.081,299316.667,1999616.667,5354.653
11726,0.106,299383.333,1999616.667,5352.926
13737,3.317,300583.333,1999616.667,5394.664
13740,3.181,300716.667,1999616.667,5394.998
14684,1.982,301183.333,1999616.667,5394.53
14687,2.638,301316.667,1999616.667,5395.893
14975,2.58,301383.333,1999616.667,5395.564
14978,2.569,301516.667,1999616.667,5395.094
15260,2.499,301583.333,1999616.667,5394.631
15263,2.533,301716.667,1999616.667,5394.214
15540,2.635,301783.333,1999616.667,5393.996
15543,2.731,301916.667,1999616.667,5393.043
15815,2.946,301983.333,1999616.667,5392.928
15818,3.093,302116.667,1999616.667,5392.091
16078,3.198,302183.333,1999616.667,5391.747
