PID,totalvolume,x,y,z
1425,11.675,292916.667,1999616.667,5378.58
1679,16.261,292983.333,1999616.667,5376.065
1682,16.844,293116.667,1999616.667,5370.853
1943,15.507,293183.333,1999616.667,5369.56
1946,12.393,293316.667,1999616.667,5368.47
2206,10.613,293383.333,1999616.667,5368.418
2209,5.278,293516.667,1999616.667,5368.687
2477,5.325,293583.333,1999616.667,5368.52
2480,5.379,293716.667,1999616.667,5367.802
2753,5.388,293783.333,1999616.667,5367.434
2756,5.288,293916.667,1999616.667,5366.862
3028,5.197,293983.333,1999616.667,5366.669
3031,4.998,294116.667,1999616.667,5366.257
3304,4.899,294183.333,1999616.667,5366.011
3307,4.678,294316.667,1999616.667,5365.343
3587,4.576,294383.333,1999616.667,5364.995
3590,4.42,294516.667,1999616.667,5364.298
3872,4.364,294583.333,1999616.667,5363.929
3875,4.309,294716.667,1999616.667,5363.228
4158,4.648,294783.333,1999616.667,5362.814
4161,6.116,294916.667,1999616.667,5361.215
4452,6.796,294983.333,1999616.667,5360.512
4455,7.457,295116.667,1999616.667,5359.538
4751,7.55,295183.333,1999616.667,5359.146
4754,7.521,295316.667,1999616.667,5358.477
5056,7.356,295383.333,1999616.667,5358.184
5059,6.864,295516.667,1999616.667,5357.668
5363,6.659,295583.333,1999616.667,5357.409
5366,6.556,295716.667,1999616.667,5357.015
5675,6.601,295783.333,1999616.667,5356.939
5678,6.587,295916.667,1999616.667,5356.451
5990,6.552,295983.333,1999616.667,5356.216
5993,6.487,296116.667,1999616.667,5355.789
6307,6.479,296183.333,1999616.667,5355.589
6310,6.551,296316.667,1999616.667,5355.231
6624,6.63,296383.333,1999616.667,5355.073
6627,6.883,296516.667,1999616.667,5354.939
6949,7.101,296583.333,1999616.667,5355.289
6952,7.346,296716.667,1999616.667,5354.855
7276,7.414,296783.333,1999616.667,5354.293
7279,7.682,296916.667,1999616.667,5353.756
7606,7.874,296983.333,1999616.667,5353.748
7609,8.394,297116.667,1999616.667,5354.315
